Status,ip,@timestamp,tag,name
online,10.10.64.40,2021-11-19 22:41:28.469523,1,vgintsb490.internal.synopsys.com
online,10.10.64.45,2021-11-19 22:41:28.469523,1,vgzeburt37.internal.synopsys.com
online,10.10.64.44,2021-11-19 22:41:28.469523,1,vgzeburt36.internal.synopsys.com
online,10.10.64.43,2021-11-19 22:41:28.469523,1,vgzeburt35.internal.synopsys.com
online,10.10.64.39,2021-11-19 22:41:28.469523,1,vgzeburt30.internal.synopsys.com
online,10.10.64.37,2021-11-19 22:41:28.469523,1,vgzeburt28.internal.synopsys.com
online,10.10.64.38,2021-11-19 22:41:28.469523,1,vgzeburt29.internal.synopsys.com
online,10.10.64.36,2021-11-19 22:41:28.469523,1,vgzeburt27.internal.synopsys.com
online,10.10.64.35,2021-11-19 22:41:28.469523,1,vgzeburt26.internal.synopsys.com
online,10.10.64.32,2021-11-19 22:41:28.469523,1,vgzeburt77.internal.synopsys.com
online,10.10.64.33,2021-11-19 22:41:28.469523,1,vgzeburt78.internal.synopsys.com
online,10.10.64.30,2021-11-19 22:41:28.469523,1,vgzeburt21.internal.synopsys.com
online,10.10.64.29,2021-11-19 22:41:28.469523,1,vgzeburt20.internal.synopsys.com
online,10.10.64.26,2021-11-19 22:41:28.469523,1,vgzeburt17.internal.synopsys.com
online,10.10.64.28,2021-11-19 22:41:28.469523,1,vgzeburt19.internal.synopsys.com
online,10.10.64.24,2021-11-19 22:41:28.469523,1,vgzeburt15.internal.synopsys.com
online,10.10.64.22,2021-11-19 22:41:28.469523,1,vgzeburt13.internal.synopsys.com
online,10.10.64.20,2021-11-19 22:41:28.469523,1,vgzeburt25.internal.synopsys.com
online,10.10.64.21,2021-11-19 22:41:28.469523,1,vgzeburt353.internal.synopsys.com
online,10.10.64.19,2021-11-19 22:41:28.469523,1,vgzeburt10.internal.synopsys.com
online,10.10.64.18,2021-11-19 22:41:28.469523,1,vgzeburt09.internal.synopsys.com
online,10.10.64.17,2021-11-19 22:41:28.469523,1,vgzeburt08.internal.synopsys.com
online,10.10.64.16,2021-11-19 22:41:28.469523,1,vgzeburt07.internal.synopsys.com
online,10.10.64.15,2021-11-19 22:41:28.469523,1,vgzeburt06.internal.synopsys.com
online,10.10.64.13,2021-11-19 22:41:28.469523,1,vgzeburt04.internal.synopsys.com
online,10.10.64.14,2021-11-19 22:41:28.469523,1,vgzeburt24.internal.synopsys.com
online,10.10.64.12,2021-11-19 22:41:28.469523,1,vgzeburt03.internal.synopsys.com
online,10.10.64.8,2021-11-19 22:41:28.469523,1,zb4-rwm-01.internal.synopsys.com
online,10.10.64.11,2021-11-19 22:41:28.469523,1,vgzeburt02.internal.synopsys.com
online,10.10.64.10,2021-11-19 22:41:28.469523,1,vgzeburt01.internal.synopsys.com
online,10.10.64.7,2021-11-19 22:41:28.469523,1,vgzeburt67.internal.synopsys.com
online,10.10.64.6,2021-11-19 22:41:28.469523,1,vgzeburt65.internal.synopsys.com
online,10.10.64.5,2021-11-19 22:41:28.469523,1,vgzeburt64.internal.synopsys.com
online,10.10.64.4,2021-11-19 22:41:28.469523,1,aurah102.internal.synopsys.com
online,10.10.64.3,2021-11-19 22:41:28.469523,1,vghapsrt-uslab26.internal.synopsys.com
online,10.10.64.2,2021-11-19 22:41:28.469523,1,vgzebu1.internal.synopsys.com
online,10.10.64.1,2021-11-19 22:41:28.469523,1,vgintwm284.internal.synopsys.com
online,10.10.71.253,2021-11-19 22:41:28.469523,1,10.10.71.253
online,10.10.71.250,2021-11-19 22:41:28.469523,1,bldga4-c2960x-zebu-1.internal.synopsys.com
online,10.10.71.248,2021-11-19 22:41:28.469523,1,bldga4-c2960x-zebu-3.internal.synopsys.com
online,10.10.71.251,2021-11-19 22:41:28.469523,1,bldga5-c2960x-1.internal.synopsys.com
online,10.10.71.249,2021-11-19 22:41:28.469523,1,bldga4-c2960x-zebu-2.internal.synopsys.com
online,10.10.71.247,2021-11-19 22:41:28.469523,1,bldga3-c2960x-haps-3.internal.synopsys.com
online,10.10.71.241,2021-11-19 22:41:28.469523,1,bldga3-c2960x-haps-2.internal.synopsys.com
online,10.10.71.246,2021-11-19 22:41:28.469523,1,bldga5-c2960x-2.internal.synopsys.com
online,10.10.68.129,2021-11-19 22:41:28.469523,1,ident-pe4.internal.synopsys.com
online,10.10.71.240,2021-11-19 22:41:28.469523,1,bldga3-c2960x-1.internal.synopsys.com
online,10.10.68.124,2021-11-19 22:41:28.469523,1,fpgalab-dpi.internal.synopsys.com
online,10.10.68.123,2021-11-19 22:41:28.469523,1,fpgalab1-optiplex-lnx.internal.synopsys.com
online,10.10.68.54,2021-11-19 22:41:28.469523,1,aurah202-win.internal.synopsys.com
online,10.10.68.117,2021-11-19 22:41:28.469523,1,aurasysmgr7.internal.synopsys.com
online,10.10.68.46,2021-11-19 22:41:28.469523,1,vgintsb459.internal.synopsys.com
online,10.10.68.49,2021-11-19 22:41:28.469523,1,vgintsb460.internal.synopsys.com
online,10.10.68.44,2021-11-19 22:41:28.469523,1,aurasysmgr4.internal.synopsys.com
online,10.10.68.47,2021-11-19 22:41:28.469523,1,vgzeburt354.internal.synopsys.com
online,10.10.68.36,2021-11-19 22:41:28.469523,1,yuc-lab-z440.internal.synopsys.com
online,10.10.68.42,2021-11-19 22:41:28.469523,1,us01-vglab-05.internal.synopsys.com
online,10.10.68.40,2021-11-19 22:41:28.469523,1,mb120bmc.internal.synopsys.com
online,10.10.68.38,2021-11-19 22:41:28.469523,1,mb104bmc.internal.synopsys.com
online,10.10.68.34,2021-11-19 22:41:28.469523,1,pdua3-apc2.internal.synopsys.com
online,10.10.68.35,2021-11-19 22:41:28.469523,1,rashid-lab3.internal.synopsys.com
online,10.10.68.33,2021-11-19 22:41:28.469523,1,z420-switzer-lnx.internal.synopsys.com
online,10.10.68.32,2021-11-19 22:41:28.469523,1,haps1-hpz400-lnx.internal.synopsys.com
online,10.10.68.30,2021-11-19 22:41:28.469523,1,mb102bmc.internal.synopsys.com
online,10.10.68.28,2021-11-19 22:41:28.469523,1,10.10.68.28
online,10.10.68.31,2021-11-19 22:41:28.469523,1,zebulab-power.internal.synopsys.com
online,10.10.68.20,2021-11-19 22:41:28.469523,1,premierlin145.internal.synopsys.com
online,10.10.68.19,2021-11-19 22:41:28.469523,1,aurasysmgr16.internal.synopsys.com
online,10.10.68.18,2021-11-19 22:41:28.469523,1,pdua3-apc3.internal.synopsys.com
online,10.10.68.15,2021-11-19 22:41:28.469523,1,java-lab-test.internal.synopsys.com
online,10.10.68.17,2021-11-19 22:41:28.469523,1,aurasysmgr11.internal.synopsys.com
online,10.10.68.9,2021-11-19 22:41:28.469523,1,haps6-zbook-lnx.internal.synopsys.com
online,10.10.68.8,2021-11-19 22:41:28.469523,1,eng17-mgmt.internal.synopsys.com
online,10.10.68.7,2021-11-19 22:41:28.469523,1,c000033bmc.internal.synopsys.com
online,10.10.68.6,2021-11-19 22:41:28.469523,1,aurasysmgr1.synopsys.com
online,10.10.68.5,2021-11-19 22:41:28.469523,1,10.10.68.5
online,10.10.68.4,2021-11-19 22:41:28.469523,1,fpgalab-nareshm1.internal.synopsys.com
online,10.10.68.2,2021-11-19 22:41:28.469523,1,vgintsb459.internal.synopsys.com
online,10.10.68.3,2021-11-19 22:41:28.469523,1,fpgalab3-z440-lnx.internal.synopsys.com
online,10.10.68.1,2021-11-19 22:41:28.469523,1,aurasysmgr1.internal.synopsys.com
online,10.10.64.151,2021-11-19 22:41:28.469523,1,vghapsrt-uslab30.internal.synopsys.com
online,10.10.64.149,2021-11-19 22:41:28.469523,1,identify-board2.internal.synopsys.com
online,10.10.64.146,2021-11-19 22:41:28.469523,1,vgzebu2.internal.synopsys.com
online,10.10.64.145,2021-11-19 22:41:28.469523,1,hapsio1.internal.synopsys.com
online,10.10.64.144,2021-11-19 22:41:28.469523,1,vghapsrt-uslab29.internal.synopsys.com
online,10.10.64.143,2021-11-19 22:41:28.469523,1,fpgalinlab10.internal.synopsys.com
